county,date,cases,name,population,population-per-100K,cases-per-100K
Anderson,2020-03-04,0,Anderson,57735,0.57735,0.0
Andrews,2020-03-04,0,Andrews,18705,0.18705,0.0
Angelina,2020-03-04,0,Angelina,86715,0.86715,0.0
Aransas,2020-03-04,0,Aransas,23510,0.2351,0.0
Archer,2020-03-04,0,Archer,8553,0.08553,0.0
Armstrong,2020-03-04,0,Armstrong,1887,0.01887,0.0
Atascosa,2020-03-04,0,Atascosa,51153,0.51153,0.0
Austin,2020-03-04,0,Austin,30032,0.30032,0.0
Bailey,2020-03-04,0,Bailey,7000,0.07,0.0
Bandera,2020-03-04,0,Bandera,23112,0.23112,0.0
Bastrop,2020-03-04,0,Bastrop,88723,0.88723,0.0
Baylor,2020-03-04,0,Baylor,3509,0.03509,0.0
Bee,2020-03-04,0,Bee,32565,0.32565,0.0
Bell,2020-03-04,0,Bell,362924,3.62924,0.0
Bexar,2020-03-04,0,Bexar,2003554,20.03554,0.0
Blanco,2020-03-04,0,Blanco,11931,0.11931,0.0
Borden,2020-03-04,0,Borden,654,0.00654,0.0
Bosque,2020-03-04,0,Bosque,18685,0.18685,0.0
Bowie,2020-03-04,0,Bowie,93245,0.93245,0.0
Brazoria,2020-03-04,0,Brazoria,374264,3.74264,0.0
Brazos,2020-03-04,0,Brazos,229211,2.29211,0.0
Brewster,2020-03-04,0,Brewster,9203,0.09203,0.0
Briscoe,2020-03-04,0,Briscoe,1546,0.01546,0.0
Brooks,2020-03-04,0,Brooks,7093,0.07093,0.0
Brown,2020-03-04,0,Brown,37864,0.37864,0.0
Burleson,2020-03-04,0,Burleson,18443,0.18443,0.0
Burnet,2020-03-04,0,Burnet,48155,0.48155,0.0
Caldwell,2020-03-04,0,Caldwell,43664,0.43664,0.0
Calhoun,2020-03-04,0,Calhoun,21290,0.2129,0.0
Callahan,2020-03-04,0,Callahan,13943,0.13943,0.0
Cameron,2020-03-04,0,Cameron,423163,4.23163,0.0
Camp,2020-03-04,0,Camp,13094,0.13094,0.0
Carson,2020-03-04,0,Carson,5926,0.05926,0.0
Cass,2020-03-04,0,Cass,30026,0.30026,0.0
Castro,2020-03-04,0,Castro,7530,0.0753,0.0
Chambers,2020-03-04,0,Chambers,43837,0.43837,0.0
Cherokee,2020-03-04,0,Cherokee,52646,0.52646,0.0
Childress,2020-03-04,0,Childress,7306,0.07306,0.0
Clay,2020-03-04,0,Clay,10471,0.10471,0.0
Cochran,2020-03-04,0,Cochran,2853,0.02853,0.0
Coke,2020-03-04,0,Coke,3387,0.03387,0.0
Coleman,2020-03-04,0,Coleman,8175,0.08175,0.0
Collin,2020-03-04,0,Collin,1034730,10.3473,0.0
Collingsworth,2020-03-04,0,Collingsworth,2920,0.0292,0.0
Colorado,2020-03-04,0,Colorado,21493,0.21493,0.0
Comal,2020-03-04,0,Comal,156209,1.56209,0.0
Comanche,2020-03-04,0,Comanche,13635,0.13635,0.0
Concho,2020-03-04,0,Concho,2726,0.02726,0.0
Cooke,2020-03-04,0,Cooke,41257,0.41257,0.0
Coryell,2020-03-04,0,Coryell,75951,0.75951,0.0
Cottle,2020-03-04,0,Cottle,1398,0.01398,0.0
Crane,2020-03-04,0,Crane,4797,0.04797,0.0
Crockett,2020-03-04,0,Crockett,3464,0.03464,0.0
Crosby,2020-03-04,0,Crosby,5737,0.05737,0.0
Culberson,2020-03-04,0,Culberson,2171,0.02171,0.0
Dallam,2020-03-04,0,Dallam,7287,0.07287,0.0
Dallas,2020-03-04,0,Dallas,2635516,26.35516,0.0
Dawson,2020-03-04,0,Dawson,12728,0.12728,0.0
Deaf Smith,2020-03-04,0,Deaf Smith,18546,0.18546,0.0
Delta,2020-03-04,0,Delta,5331,0.05331,0.0
Denton,2020-03-04,0,Denton,887207,8.87207,0.0
DeWitt,2020-03-04,0,DeWitt,20160,0.2016,0.0
Dickens,2020-03-04,0,Dickens,2211,0.02211,0.0
Dimmit,2020-03-04,0,Dimmit,10124,0.10124,0.0
Donley,2020-03-04,0,Donley,3278,0.03278,0.0
Duval,2020-03-04,0,Duval,11157,0.11157,0.0
Eastland,2020-03-04,0,Eastland,18360,0.1836,0.0
Ector,2020-03-04,0,Ector,166223,1.66223,0.0
Edwards,2020-03-04,0,Edwards,1932,0.01932,0.0
Ellis,2020-03-04,0,Ellis,184826,1.84826,0.0
El Paso,2020-03-04,0,El Paso,839238,8.39238,0.0
Erath,2020-03-04,0,Erath,42698,0.42698,0.0
Falls,2020-03-04,0,Falls,17297,0.17297,0.0
Fannin,2020-03-04,0,Fannin,35514,0.35514,0.0
Fayette,2020-03-04,0,Fayette,25346,0.25346,0.0
Fisher,2020-03-04,0,Fisher,3830,0.0383,0.0
Floyd,2020-03-04,0,Floyd,5712,0.05712,0.0
Foard,2020-03-04,0,Foard,1155,0.01155,0.0
Fort Bend,2020-03-04,0,Fort Bend,811688,8.11688,0.0
Franklin,2020-03-04,0,Franklin,10725,0.10725,0.0
Freestone,2020-03-04,0,Freestone,19717,0.19717,0.0
Frio,2020-03-04,0,Frio,20306,0.20306,0.0
Gaines,2020-03-04,0,Gaines,21492,0.21492,0.0
Galveston,2020-03-04,0,Galveston,342139,3.42139,0.0
Garza,2020-03-04,0,Garza,6229,0.06229,0.0
Gillespie,2020-03-04,0,Gillespie,26988,0.26988,0.0
Glasscock,2020-03-04,0,Glasscock,1409,0.01409,0.0
Goliad,2020-03-04,0,Goliad,7658,0.07658,0.0
Gonzales,2020-03-04,0,Gonzales,20837,0.20837,0.0
Gray,2020-03-04,0,Gray,21886,0.21886,0.0
Grayson,2020-03-04,0,Grayson,136212,1.36212,0.0
Gregg,2020-03-04,0,Gregg,123945,1.23945,0.0
Grimes,2020-03-04,0,Grimes,28880,0.2888,0.0
Guadalupe,2020-03-04,0,Guadalupe,166847,1.66847,0.0
Hale,2020-03-04,0,Hale,33406,0.33406,0.0
Hall,2020-03-04,0,Hall,2964,0.02964,0.0
Hamilton,2020-03-04,0,Hamilton,8461,0.08461,0.0
Hansford,2020-03-04,0,Hansford,5399,0.05399,0.0
Hardeman,2020-03-04,0,Hardeman,3933,0.03933,0.0
Hardin,2020-03-04,0,Hardin,57602,0.57602,0.0
Harris,2020-03-04,0,Harris,4713325,47.13325,0.0
Harrison,2020-03-04,0,Harrison,66553,0.66553,0.0
Hartley,2020-03-04,0,Hartley,5576,0.05576,0.0
Haskell,2020-03-04,0,Haskell,5658,0.05658,0.0
Hays,2020-03-04,0,Hays,230191,2.30191,0.0
Hemphill,2020-03-04,0,Hemphill,3819,0.03819,0.0
Henderson,2020-03-04,0,Henderson,82737,0.82737,0.0
Hidalgo,2020-03-04,0,Hidalgo,868707,8.68707,0.0
Hill,2020-03-04,0,Hill,36649,0.36649,0.0
Hockley,2020-03-04,0,Hockley,23021,0.23021,0.0
Hood,2020-03-04,0,Hood,61643,0.61643,0.0
Hopkins,2020-03-04,0,Hopkins,37084,0.37084,0.0
Houston,2020-03-04,0,Houston,22968,0.22968,0.0
Howard,2020-03-04,0,Howard,36664,0.36664,0.0
Hudspeth,2020-03-04,0,Hudspeth,4886,0.04886,0.0
Hunt,2020-03-04,0,Hunt,98594,0.98594,0.0
Hutchinson,2020-03-04,0,Hutchinson,20938,0.20938,0.0
Irion,2020-03-04,0,Irion,1536,0.01536,0.0
Jack,2020-03-04,0,Jack,8935,0.08935,0.0
Jackson,2020-03-04,0,Jackson,14760,0.1476,0.0
Jasper,2020-03-04,0,Jasper,35529,0.35529,0.0
Jeff Davis,2020-03-04,0,Jeff Davis,2274,0.02274,0.0
Jefferson,2020-03-04,0,Jefferson,251565,2.51565,0.0
Jim Hogg,2020-03-04,0,Jim Hogg,5200,0.052,0.0
Jim Wells,2020-03-04,0,Jim Wells,40482,0.40482,0.0
Johnson,2020-03-04,0,Johnson,175817,1.75817,0.0
Jones,2020-03-04,0,Jones,20083,0.20083,0.0
Karnes,2020-03-04,0,Karnes,15601,0.15601,0.0
Kaufman,2020-03-04,0,Kaufman,136154,1.36154,0.0
Kendall,2020-03-04,0,Kendall,47431,0.47431,0.0
Kenedy,2020-03-04,0,Kenedy,404,0.00404,0.0
Kent,2020-03-04,0,Kent,762,0.00762,0.0
Kerr,2020-03-04,0,Kerr,52600,0.526,0.0
Kimble,2020-03-04,0,Kimble,4337,0.04337,0.0
King,2020-03-04,0,King,272,0.00272,0.0
Kinney,2020-03-04,0,Kinney,3667,0.03667,0.0
Kleberg,2020-03-04,0,Kleberg,30680,0.3068,0.0
Knox,2020-03-04,0,Knox,3664,0.03664,0.0
Lamar,2020-03-04,0,Lamar,49859,0.49859,0.0
Lamb,2020-03-04,0,Lamb,12893,0.12893,0.0
Lampasas,2020-03-04,0,Lampasas,21428,0.21428,0.0
La Salle,2020-03-04,0,La Salle,7520,0.0752,0.0
